system_name,run_id,latency,operation,on_leader,n_nodes,n_clients,order_on_write
DAS,0,0.004746596096083522,write,False,4,10,False
DAS,0,0.0025253749918192625,write,False,4,10,False
DAS,0,0.013351224130019546,read,False,4,10,False
DAS,0,0.0058644539676606655,write,False,4,10,False
DAS,0,0.0063190339133143425,read,False,4,10,False
DAS,0,0.0010320141445845366,write,True,4,10,False
DAS,0,0.012281677918508649,write,False,4,10,False
DAS,0,0.015169365098699927,write,False,4,10,False
DAS,0,0.007679471978917718,write,True,4,10,False
DAS,0,0.01652241311967373,write,False,4,10,False
DAS,0,0.0009297269862145185,read,True,4,10,False
DAS,0,0.0014357049949467182,read,False,4,10,False
DAS,0,0.0006667040288448334,write,False,4,10,False
DAS,0,0.000736654968932271,write,True,4,10,False
DAS,0,0.02348862006329,write,False,4,10,False
DAS,0,0.0030675299931317568,read,False,4,10,False
DAS,0,0.005206117872148752,write,False,4,10,False
DAS,0,0.0071401630993932486,write,False,4,10,False
DAS,0,0.011010461952537298,read,False,4,10,False
DAS,0,0.005603038007393479,write,False,4,10,False
DAS,0,0.006459585158154368,write,False,4,10,False
DAS,0,0.0007540259975939989,read,False,4,10,False
DAS,0,0.0006576101295650005,write,False,4,10,False
DAS,0,0.00402230815961957,read,True,4,10,False
DAS,0,0.005376911023631692,write,False,4,10,False
DAS,0,0.0007483900990337133,write,False,4,10,False
DAS,0,0.004605101887136698,write,False,4,10,False
DAS,0,0.007367905927821994,write,True,4,10,False
DAS,0,0.0010515390895307064,write,False,4,10,False
DAS,0,0.00781958899460733,write,False,4,10,False
DAS,0,0.0016610499005764723,read,False,4,10,False
DAS,0,0.008714475901797414,write,False,4,10,False
DAS,0,0.004297506995499134,read,False,4,10,False
DAS,0,0.0010914949234575033,read,False,4,10,False
DAS,0,0.0007577219512313604,write,False,4,10,False
DAS,0,0.0013249642215669155,write,False,4,10,False
DAS,0,0.0085977369453758,read,False,4,10,False
DAS,0,0.0005366019904613495,read,False,4,10,False
DAS,0,0.004361686995252967,write,False,4,10,False
DAS,0,0.0008353970479220152,write,False,4,10,False
DAS,0,0.004639778984710574,write,False,4,10,False
