system_name,run_id,latency,operation,on_leader,n_nodes,n_clients,order_on_write
DAS,0,0.005460450425744057,write,False,4,10,False
DAS,0,0.010773292742669582,read,False,4,10,False
DAS,0,0.009401006624102592,write,False,4,10,False
DAS,0,0.01484900712966919,write,False,4,10,False
DAS,0,0.025993993505835533,read,False,4,10,False
DAS,0,0.011225555092096329,write,False,4,10,False
DAS,0,0.00721818208694458,read,False,4,10,False
DAS,0,0.008543416857719421,read,False,4,10,False
DAS,0,0.002454490400850773,read,False,4,10,False
DAS,0,0.0025157909840345383,write,False,4,10,False
DAS,0,0.0028999242931604385,write,True,4,10,False
DAS,0,0.0008606370538473129,read,False,4,10,False
DAS,0,0.004794652573764324,write,False,4,10,False
DAS,0,0.0011216755956411362,read,True,4,10,False
DAS,0,0.009547246620059013,write,False,4,10,False
DAS,0,0.007457807660102844,write,False,4,10,False
DAS,0,0.0005685510113835335,read,False,4,10,False
DAS,0,0.0018641790375113487,write,False,4,10,False
DAS,0,0.0023312782868742943,write,False,4,10,False
DAS,0,0.02610062249004841,read,True,4,10,False
DAS,0,0.003916862420737743,write,False,4,10,False
DAS,0,0.003996589221060276,write,False,4,10,False
DAS,0,0.0031718825921416283,write,True,4,10,False
DAS,0,0.003389984369277954,write,False,4,10,False
DAS,0,0.0012450218200683594,write,False,4,10,False
DAS,0,0.0008494937792420387,write,False,4,10,False
DAS,0,0.0003846408799290657,write,False,4,10,False
DAS,0,0.005437798798084259,write,False,4,10,False
DAS,0,0.016168730333447456,write,True,4,10,False
DAS,0,0.002946862019598484,write,False,4,10,False
DAS,0,0.0038388697430491447,write,False,4,10,False
DAS,0,0.0011865412816405296,write,False,4,10,False
DAS,0,0.0025505712255835533,write,False,4,10,False
DAS,0,0.009034276008605957,read,True,4,10,False
DAS,0,0.004977556876838207,read,False,4,10,False
DAS,0,0.0007634935900568962,read,True,4,10,False
DAS,0,0.021052194759249687,read,True,4,10,False
DAS,0,0.0006511034443974495,read,False,4,10,False
DAS,0,0.003084637224674225,write,False,4,10,False
DAS,0,0.0036926036700606346,read,False,4,10,False
DAS,0,0.0010050507262349129,read,False,4,10,False
DAS,0,0.0010195057839155197,write,True,4,10,False
DAS,0,0.014861364848911762,read,True,4,10,False
DAS,0,0.0030022282153367996,read,False,4,10,False
DAS,0,0.005296987481415272,read,False,4,10,False
DAS,0,0.002713543362915516,write,False,4,10,False
DAS,0,0.00794388446956873,write,False,4,10,False
DAS,0,0.010961400344967842,write,True,4,10,False
DAS,0,0.005544763989746571,write,False,4,10,False
DAS,0,0.00831273477524519,write,False,4,10,False
DAS,0,0.013087030500173569,read,False,4,10,False
DAS,0,0.0028435345739126205,write,False,4,10,False
DAS,0,0.02142478059977293,write,False,4,10,False
DAS,0,0.006114369258284569,write,False,4,10,False
DAS,0,0.006291993893682957,write,False,4,10,False
DAS,0,0.00766388513147831,write,False,4,10,False
DAS,0,0.004101445898413658,read,False,4,10,False
DAS,0,0.0050212303176522255,write,False,4,10,False
DAS,0,0.00342465378344059,write,False,4,10,False
DAS,0,0.0018897093832492828,write,False,4,10,False
DAS,0,0.01631578616797924,read,False,4,10,False
DAS,0,0.02382664754986763,write,True,4,10,False
DAS,0,0.0059416648000478745,write,False,4,10,False
DAS,0,0.006943805143237114,write,False,4,10,False
DAS,0,0.0020899856463074684,write,False,4,10,False
DAS,0,0.0029021622613072395,write,True,4,10,False
DAS,0,0.0015178043395280838,write,True,4,10,False
DAS,0,0.00773534644395113,write,False,4,10,False
DAS,0,0.001256229355931282,write,True,4,10,False
DAS,0,0.013001563958823681,write,True,4,10,False
DAS,0,0.0005335146561264992,write,False,4,10,False
DAS,0,0.0029644500464200974,write,False,4,10,False
DAS,0,0.0037747900933027267,write,True,4,10,False
DAS,0,0.004192681983113289,read,False,4,10,False
DAS,0,0.0012674201279878616,write,False,4,10,False
DAS,0,0.0018899152055382729,read,False,4,10,False
DAS,0,0.0007693814113736153,read,False,4,10,False
DAS,0,0.01741967722773552,write,False,4,10,False
DAS,0,0.00070989690721035,write,False,4,10,False
DAS,0,0.0014395751059055328,write,False,4,10,False
DAS,0,0.0073033468797802925,write,False,4,10,False
DAS,0,0.0016841422766447067,write,False,4,10,False
DAS,0,0.006977422162890434,write,False,4,10,False
DAS,0,0.005620292387902737,write,False,4,10,False
DAS,0,0.005513027310371399,write,False,4,10,False
DAS,0,0.006207323633134365,write,False,4,10,False
DAS,0,0.0008123582229018211,read,False,4,10,False
DAS,0,0.006959518417716026,write,False,4,10,False
DAS,0,0.008792782202363014,write,True,4,10,False
DAS,0,0.008200505748391151,write,False,4,10,False
DAS,0,0.019432419911026955,write,False,4,10,False
DAS,0,0.019604386761784554,write,False,4,10,False
DAS,0,0.0038837864995002747,write,False,4,10,False
DAS,0,0.023164262995123863,write,False,4,10,False
