system_name,run_id,latency,operation,on_leader,n_nodes,n_clients,order_on_write
DAS,0,0.003936332650482655,write,False,4,10,False
DAS,0,0.0018396629020571709,read,False,4,10,False
DAS,0,0.002185394987463951,write,False,4,10,False
DAS,0,0.0006615975871682167,read,False,4,10,False
DAS,0,0.002212672494351864,write,True,4,10,False
DAS,0,0.0010292073711752892,read,True,4,10,False
DAS,0,0.002875523641705513,write,False,4,10,False
DAS,0,0.0019232584163546562,write,False,4,10,False
DAS,0,0.0006359675899147987,read,False,4,10,False
DAS,0,0.0007311645895242691,read,False,4,10,False
DAS,0,0.0029693152755498886,write,False,4,10,False
DAS,0,0.0007222741842269897,read,False,4,10,False
DAS,0,0.0022171176970005035,write,False,4,10,False
DAS,0,0.002066400833427906,write,False,4,10,False
DAS,0,0.0024062609300017357,write,False,4,10,False
DAS,0,0.0022973045706748962,write,False,4,10,False
DAS,0,0.0009563630446791649,read,False,4,10,False
DAS,0,0.002332831732928753,write,False,4,10,False
DAS,0,0.002988344058394432,write,True,4,10,False
DAS,0,0.0022733425721526146,write,False,4,10,False
DAS,0,0.00201413594186306,write,False,4,10,False
DAS,0,0.0012782150879502296,read,False,4,10,False
DAS,0,0.002297254279255867,write,False,4,10,False
DAS,0,0.0027160020545125008,write,True,4,10,False
DAS,0,0.002033536322414875,write,False,4,10,False
DAS,0,0.0007330598309636116,read,False,4,10,False
DAS,0,0.0018345937132835388,write,False,4,10,False
DAS,0,0.0028009507805109024,write,True,4,10,False
DAS,0,0.0022417856380343437,write,False,4,10,False
DAS,0,0.00072524044662714,read,False,4,10,False
DAS,0,0.0020958948880434036,write,False,4,10,False
DAS,0,0.0018611159175634384,write,False,4,10,False
DAS,0,0.002053365111351013,write,False,4,10,False
DAS,0,0.002984175458550453,write,True,4,10,False
DAS,0,0.0022519705817103386,write,True,4,10,False
DAS,0,0.002048935741186142,write,False,4,10,False
DAS,0,0.002224830910563469,write,False,4,10,False
DAS,0,0.0022901250049471855,write,False,4,10,False
DAS,0,0.001581663265824318,read,True,4,10,False
DAS,0,0.0021232329308986664,write,True,4,10,False
DAS,0,0.0007855873554944992,read,False,4,10,False
DAS,0,0.0022143274545669556,write,False,4,10,False
DAS,0,0.002007364295423031,write,False,4,10,False
DAS,0,0.001956414431333542,write,False,4,10,False
DAS,0,0.002532358281314373,write,True,4,10,False
DAS,0,0.0022746818140149117,write,False,4,10,False
DAS,0,0.002538749948143959,write,True,4,10,False
DAS,0,0.0022537801414728165,write,False,4,10,False
DAS,0,0.0006060115993022919,read,False,4,10,False
DAS,0,0.0006435699760913849,read,False,4,10,False
DAS,0,0.0007247645407915115,read,False,4,10,False
DAS,0,0.000758790411055088,read,True,4,10,False
DAS,0,0.002304619178175926,write,False,4,10,False
DAS,0,0.0007063103839755058,read,False,4,10,False
DAS,0,0.0020362678915262222,write,True,4,10,False
DAS,0,0.0007701348513364792,read,False,4,10,False
DAS,0,0.0022052116692066193,write,False,4,10,False
DAS,0,0.002732871100306511,write,True,4,10,False
DAS,0,0.0007865568622946739,read,False,4,10,False
DAS,0,0.000683322548866272,read,True,4,10,False
DAS,0,0.0019111540168523788,write,True,4,10,False
DAS,0,0.000728171318769455,read,False,4,10,False
DAS,0,0.002207297831773758,write,False,4,10,False
DAS,0,0.002185921184718609,write,False,4,10,False
DAS,0,0.002757251262664795,write,True,4,10,False
DAS,0,0.0009309733286499977,read,True,4,10,False
DAS,0,0.002032121643424034,write,False,4,10,False
DAS,0,0.0019649360328912735,write,False,4,10,False
DAS,0,0.0018672039732336998,write,False,4,10,False
DAS,0,0.0012616897001862526,read,True,4,10,False
DAS,0,0.0005644569173455238,read,False,4,10,False
DAS,0,0.0007051378488540649,read,True,4,10,False
DAS,0,0.002205674536526203,write,False,4,10,False
DAS,0,0.0015789642930030823,read,True,4,10,False
DAS,0,0.0006908560171723366,read,False,4,10,False
DAS,0,0.0020630359649658203,write,False,4,10,False
DAS,0,0.0018847091123461723,write,False,4,10,False
DAS,0,0.0019548870623111725,write,False,4,10,False
DAS,0,0.0007899319753050804,read,False,4,10,False
DAS,0,0.0020502349361777306,write,False,4,10,False
