system_name,run_id,latency,operation,on_leader,n_nodes,n_clients,order_on_write
DAS,0,0.002001001965254545,write,False,4,10,True
DAS,0,0.003489631926640868,write,False,4,10,True
DAS,0,0.011780143016949296,write,False,4,10,True
DAS,0,0.008912041084840894,write,False,4,10,True
DAS,0,0.0007296050898730755,read,False,4,10,True
DAS,0,0.008023770991712809,write,False,4,10,True
DAS,0,0.025170834036543965,write,False,4,10,True
DAS,0,0.013605204876512289,read,False,4,10,True
DAS,0,0.010310035897418857,write,False,4,10,True
DAS,0,0.005201897816732526,write,False,4,10,True
DAS,0,0.003160668071359396,read,True,4,10,True
DAS,0,0.0008427109569311142,write,False,4,10,True
DAS,0,0.010434497147798538,read,False,4,10,True
DAS,0,0.003090139012783766,write,False,4,10,True
DAS,0,0.014525713864713907,write,True,4,10,True
DAS,0,0.0015586509834975004,write,False,4,10,True
DAS,0,0.02006758307106793,write,False,4,10,True
DAS,0,0.004658248974010348,write,False,4,10,True
DAS,0,0.008507121121510863,read,False,4,10,True
DAS,0,0.005269231973215938,write,False,4,10,True
DAS,0,0.010700409999117255,read,False,4,10,True
DAS,0,0.007864935090765357,write,False,4,10,True
DAS,0,0.010798827046528459,read,True,4,10,True
DAS,0,0.0015179170295596123,write,False,4,10,True
DAS,0,0.0020754560828208923,read,False,4,10,True
DAS,0,0.011304678861051798,write,False,4,10,True
DAS,0,0.004884881898760796,write,False,4,10,True
DAS,0,0.007336823968216777,write,False,4,10,True
DAS,0,0.008506119018420577,write,False,4,10,True
DAS,0,0.0008255240973085165,read,False,4,10,True
DAS,0,0.013726255856454372,write,False,4,10,True
DAS,0,0.000921173021197319,read,True,4,10,True
DAS,0,0.026808368042111397,read,False,4,10,True
DAS,0,0.01021952205337584,write,False,4,10,True
DAS,0,0.004225768148899078,write,False,4,10,True
DAS,0,0.0008959160186350346,write,False,4,10,True
DAS,0,0.006244126008823514,write,False,4,10,True
DAS,0,0.0010494720190763474,read,False,4,10,True
DAS,0,0.000455288914963603,write,True,4,10,True
DAS,0,0.01311752712354064,read,False,4,10,True
DAS,0,0.0031604389660060406,read,False,4,10,True
DAS,0,0.0009843839798122644,write,False,4,10,True
DAS,0,0.005866864928975701,write,False,4,10,True
DAS,0,0.014094458892941475,write,False,4,10,True
DAS,0,0.01096711796708405,write,True,4,10,True
DAS,0,0.0007074191235005856,write,False,4,10,True
DAS,0,0.0010817029979079962,read,False,4,10,True
DAS,0,0.0019191240426152945,write,False,4,10,True
DAS,0,0.0022291739005595446,read,False,4,10,True
DAS,0,0.0060045719146728516,read,False,4,10,True
DAS,0,0.006337049882858992,write,False,4,10,True
DAS,0,0.0007382179610431194,write,True,4,10,True
DAS,0,0.0030761908274143934,write,False,4,10,True
DAS,0,0.0016713470686227083,read,True,4,10,True
