system_name,run_id,latency,operation,on_leader,n_nodes,n_clients,order_on_write
DAS,0,0.00809240248054266,write,False,4,10,False
DAS,0,0.003927785903215408,read,True,4,10,False
DAS,0,0.010290349833667278,read,True,4,10,False
DAS,0,0.003586050122976303,read,True,4,10,False
DAS,0,0.0008617965504527092,read,False,4,10,False
DAS,0,0.0009229825809597969,read,False,4,10,False
DAS,0,0.007889578118920326,write,False,4,10,False
DAS,0,0.0006452100351452827,read,True,4,10,False
DAS,0,0.0005827685818076134,read,False,4,10,False
DAS,0,0.0004350515082478523,write,False,4,10,False
DAS,0,0.0005119442939758301,read,False,4,10,False
DAS,0,0.0007900632917881012,read,False,4,10,False
DAS,0,0.001730397343635559,write,False,4,10,False
DAS,0,0.007749278098344803,write,False,4,10,False
DAS,0,0.005512548610568047,read,False,4,10,False
DAS,0,0.002545129507780075,write,False,4,10,False
DAS,0,0.0032830527052283287,write,True,4,10,False
DAS,0,0.005208251066505909,write,False,4,10,False
DAS,0,0.0061777736991643906,write,True,4,10,False
DAS,0,0.008302414789795876,read,False,4,10,False
DAS,0,0.0007338710129261017,read,False,4,10,False
DAS,0,0.006361254490911961,read,False,4,10,False
DAS,0,0.0038551529869437218,read,False,4,10,False
DAS,0,0.0014128582552075386,write,False,4,10,False
DAS,0,0.0005120066925883293,read,False,4,10,False
DAS,0,0.0006214389577507973,read,False,4,10,False
DAS,0,0.0007574968039989471,read,False,4,10,False
DAS,0,0.0008473237976431847,read,False,4,10,False
DAS,0,0.0007172049954533577,read,False,4,10,False
DAS,0,0.001932273618876934,write,False,4,10,False
DAS,0,0.0127976443618536,write,True,4,10,False
DAS,0,0.0010632360354065895,read,True,4,10,False
DAS,0,0.005420590750873089,write,False,4,10,False
DAS,0,0.0018086154013872147,write,False,4,10,False
DAS,0,0.0011282190680503845,read,False,4,10,False
DAS,0,0.0030680103227496147,write,False,4,10,False
DAS,0,0.005818845704197884,read,False,4,10,False
DAS,0,0.0008704885840415955,write,False,4,10,False
